,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2020-09-30,4369000000.0,4369000000.0,1872000000.0,1757000000.0,1364000000.0,8.94,1844000000.0,1757000000.0,152488000.0,6507000000.0,3706000000.0,10213000000.0,154905000000.0,165118000000.0,0.0,10062000000.0,15137000000.0,121124000000.0,131186000000.0,33932000000.0,87000000.0,995000000.0,-40000000.0,-19000000.0,-556000000.0,0.0,563.55
2020-12-31,4478000000.0,4478000000.0,1815000000.0,1848000000.0,1548000000.0,10.15,1951000000.0,1848000000.0,153489000.0,8664000000.0,3535000000.0,12199000000.0,164134000000.0,176982000000.0,750000000.0,3527000000.0,23771000000.0,138121000000.0,141648000000.0,35334000000.0,103000000.0,1979000000.0,-54000000.0,-77000000.0,-554000000.0,138000000.0,721.54
2021-03-31,4398000000.0,4398000000.0,1994000000.0,1545000000.0,1199000000.0,7.86,1642000000.0,1545000000.0,152567000.0,6267000000.0,3825000000.0,10092000000.0,163767000000.0,173859000000.0,750000000.0,2273000000.0,22943000000.0,136157000000.0,138430000000.0,35429000000.0,97000000.0,-573000000.0,-48000000.0,-1150000000.0,-661000000.0,-591000000.0,753.96
2021-06-30,4820000000.0,4820000000.0,2009000000.0,1931000000.0,1378000000.0,9.04,2032000000.0,1931000000.0,152443000.0,6416000000.0,3790000000.0,10206000000.0,166756000000.0,176962000000.0,0.0,9433000000.0,16170000000.0,131381000000.0,140814000000.0,36148000000.0,101000000.0,1826000000.0,-130000000.0,-285000000.0,-630000000.0,-1475000000.0,874.97
2021-09-30,5050000000.0,5050000000.0,2138000000.0,1935000000.0,1681000000.0,11.05,2042000000.0,1935000000.0,152100000.0,7361000000.0,4015000000.0,11376000000.0,156462000000.0,169636000000.0,0.0,3745000000.0,20580000000.0,128962000000.0,132707000000.0,36929000000.0,107000000.0,1774000000.0,-37000000.0,-144000000.0,-629000000.0,-629000000.0,838.66
2021-12-31,5106000000.0,5106000000.0,2123000000.0,2039000000.0,1643000000.0,10.82,2149000000.0,2039000000.0,152236000.0,9323000000.0,3789000000.0,13112000000.0,137915000000.0,152648000000.0,750000000.0,4348000000.0,14527000000.0,110494000000.0,114842000000.0,37806000000.0,110000000.0,1917000000.0,-126000000.0,-358000000.0,-627000000.0,408000000.0,915.56
2022-03-31,4699000000.0,4699000000.0,1994000000.0,1764000000.0,1436000000.0,9.46,1864000000.0,1764000000.0,151733000.0,7262000000.0,3801000000.0,11063000000.0,130681000000.0,143327000000.0,750000000.0,2555000000.0,14513000000.0,103176000000.0,105731000000.0,37596000000.0,100000000.0,-422000000.0,-147000000.0,-198000000.0,-786000000.0,-1351000000.0,764.17
2022-06-30,4526000000.0,4526000000.0,1944000000.0,1668000000.0,1077000000.0,7.12,1767000000.0,1668000000.0,151293000.0,6481000000.0,3471000000.0,9952000000.0,114471000000.0,125966000000.0,0.0,2732000000.0,13914000000.0,86032000000.0,88764000000.0,37202000000.0,99000000.0,1645000000.0,-116000000.0,-302000000.0,-737000000.0,-1921000000.0,609.04
2022-09-30,4311000000.0,4311000000.0,1893000000.0,1526000000.0,1406000000.0,9.33,1635000000.0,1526000000.0,150600000.0,6797000000.0,3361000000.0,10158000000.0,103781000000.0,115430000000.0,0.0,3348000000.0,12458000000.0,74793000000.0,78141000000.0,37289000000.0,109000000.0,1760000000.0,-136000000.0,-214000000.0,-736000000.0,-1044000000.0,550.28
2022-12-31,4337000000.0,4337000000.0,2010000000.0,1427000000.0,1259000000.0,0.0,0.0,1427000000.0,150035900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259000000.0,0.0,708.63
