,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2020-07-31,27302000000.0,17998000000.0,9304000000.0,5020000000.0,3957000000.0,2816000000.0,3.74,4331000000.0,3957000000.0,752000000.0,12726000000.0,13831000000.0,27717000000.0,24046000000.0,51763000000.0,1609000000.0,21370000000.0,20197000000.0,26037000000.0,47407000000.0,4356000000.0,374000000.0,7302000000.0,-361000000.0,-1272000000.0,-416000000.0,-363000000.0,148.91
2020-10-31,22309000000.0,15009000000.0,7300000000.0,4770000000.0,2175000000.0,689000000.0,0.92,2580000000.0,2175000000.0,752000000.0,10101000000.0,15712000000.0,26916000000.0,23964000000.0,50880000000.0,609000000.0,19564000000.0,21185000000.0,27243000000.0,46807000000.0,4073000000.0,405000000.0,-267000000.0,-448000000.0,-1092000000.0,-416000000.0,-2033000000.0,158.1
2021-01-31,20311000000.0,13856000000.0,6455000000.0,4540000000.0,1524000000.0,973000000.0,1.33,1966000000.0,1524000000.0,748000000.0,5196000000.0,16193000000.0,22326000000.0,24409000000.0,46735000000.0,1112000000.0,18730000000.0,20668000000.0,26568000000.0,45298000000.0,1437000000.0,442000000.0,-436000000.0,-589000000.0,758000000.0,-452000000.0,-3887000000.0,166.85
2021-04-30,24422000000.0,16292000000.0,8130000000.0,4494000000.0,3245000000.0,2312000000.0,3.22,3688000000.0,3245000000.0,718000000.0,7146000000.0,18382000000.0,26816000000.0,24384000000.0,51200000000.0,1338000000.0,22892000000.0,21906000000.0,27863000000.0,50755000000.0,445000000.0,443000000.0,4492000000.0,-397000000.0,-477000000.0,-440000000.0,-2020000000.0,196.25
2021-07-31,27570000000.0,18258000000.0,9312000000.0,4693000000.0,4210000000.0,3007000000.0,4.27,4674000000.0,4210000000.0,705000000.0,6255000000.0,17322000000.0,25083000000.0,24321000000.0,49404000000.0,2344000000.0,21664000000.0,21967000000.0,27915000000.0,49579000000.0,-175000000.0,464000000.0,2421000000.0,-371000000.0,-1368000000.0,-430000000.0,-2907000000.0,192.69
2021-10-31,22918000000.0,15756000000.0,7162000000.0,4373000000.0,2789000000.0,1889000000.0,2.73,3401000000.0,2789000000.0,690000000.0,6673000000.0,16685000000.0,24849000000.0,24551000000.0,49400000000.0,2352000000.0,20834000000.0,23881000000.0,30142000000.0,50976000000.0,-1576000000.0,612000000.0,2266000000.0,-394000000.0,485000000.0,-563000000.0,-1464000000.0,233.82
2022-01-31,21339000000.0,14749000000.0,6590000000.0,4741000000.0,1849000000.0,1202000000.0,1.78,2477000000.0,1849000000.0,673000000.0,1404000000.0,17605000000.0,20060000000.0,24580000000.0,44640000000.0,868000000.0,19668000000.0,23859000000.0,29788000000.0,49456000000.0,-4816000000.0,628000000.0,934000000.0,-578000000.0,-286000000.0,-551000000.0,-5625000000.0,237.35
2022-04-30,23659000000.0,16054000000.0,7605000000.0,4303000000.0,3302000000.0,2325000000.0,3.51,3940000000.0,3302000000.0,660000000.0,3782000000.0,20239000000.0,25611000000.0,24114000000.0,49725000000.0,121000000.0,21831000000.0,28776000000.0,34771000000.0,56602000000.0,-6877000000.0,638000000.0,2977000000.0,-333000000.0,-310000000.0,-537000000.0,-386000000.0,197.73
2022-07-31,27476000000.0,18792000000.0,8684000000.0,4455000000.0,4229000000.0,2983000000.0,4.67,4871000000.0,4229000000.0,638000000.0,1932000000.0,19329000000.0,22667000000.0,24058000000.0,46725000000.0,121000000.0,20366000000.0,28763000000.0,34801000000.0,55167000000.0,-8442000000.0,642000000.0,3035000000.0,-335000000.0,-399000000.0,-524000000.0,-4568000000.0,191.53
2022-10-31,23479000000.0,16112000000.0,7367000000.0,6443000000.0,924000000.0,152000000.0,0.25,1556000000.0,924000000.0,618000000.0,3656000000.0,19817000000.0,24991000000.0,21982000000.0,46973000000.0,609000000.0,20876000000.0,32904000000.0,38965000000.0,59841000000.0,-12868000000.0,632000000.0,2126000000.0,-385000000.0,-406000000.0,-666000000.0,22000000.0,194.95
