,Sym,Value ($000)
2013-12-01,VFC,0.0
2013-12-01,GIB-A.TO,0.0
2013-12-01,TRI.TO,0.0
2013-12-01,BIDU,0.0
2013-12-01,JD,0.0
2013-12-01,VRTX,0.0
2013-12-01,NTES,0.0
2013-12-01,0A2I.IL,0.0
2013-12-01,OTEX,0.0
2013-12-01,EXPE,0.0
2013-12-01,HOG,0.0
2013-12-01,CVI,0.0
2013-12-01,YUMC,0.0
2013-12-01,TCOM,0.0
2013-12-01,ATHM,0.0
2013-12-01,EDU,0.0
2013-12-01,0A2X.IL,0.0
2013-12-01,JBGS,0.0
2013-12-01,NVT,0.0
2013-12-01,WH,0.0
2013-12-01,LOGM,0.0
2013-12-01,INDA,0.0
2013-12-01,TRN,0.0
2013-12-01,NTRS,0.0
2013-12-01,WP,0.0
2013-12-01,NYT,0.0
2013-12-01,QEP,0.0
2013-12-01,MOMO,0.0
2013-12-01,0LQ0.IL,0.0
2013-12-01,SINA,0.0
2013-12-01,PTC,0.0
2013-12-01,JOBS,0.0
2013-12-01,DPZ,0.0
2013-12-01,YY,0.0
2013-12-01,GDS,0.0
2013-12-01,JACK,0.0
2013-12-01,CL,0.0
2013-12-01,MCHI,0.0
2013-12-01,FXI,0.0
2013-12-01,TRP.TO,0.0
2013-12-01,0A2S.IL,0.0
2013-12-01,APTV,0.0
2013-12-01,ODFL,0.0
2013-12-01,GPC,0.0
2013-12-01,UBER,0.0
2013-12-01,DG,0.0
2013-12-01,DD,0.0
2013-12-01,HCA,0.0
2013-12-01,KHC,0.0
2013-12-01,ZTO,0.0
2013-12-01,AOS,0.0
2013-12-01,UHAL,0.0
2013-12-01,GNTX,0.0
2013-12-01,KNX,0.0
2013-12-01,EQR,0.0
2013-12-01,AVB,0.0
2013-12-01,INFO,0.0
2013-12-01,UAA,0.0
2013-12-01,AXTA,0.0
2013-12-01,0XWG.IL,0.0
2013-12-01,SRE,0.0
2013-12-01,GM,0.0
2013-12-01,DLTR,0.0
2013-12-01,WDAY,0.0
2013-12-01,0A2Z.IL,0.0
2013-12-01,CRI,0.0
2013-12-01,MKL,0.0
2013-12-01,WUBA,0.0
2013-12-01,PEAK,0.0
2013-12-01,POOL,0.0
2013-12-01,ACGL,0.0
2013-12-01,CDW,0.0
2013-12-01,TPX,0.0
2013-12-01,THO,0.0
2013-12-01,OMC,0.0
2013-12-01,WB,0.0
2013-12-01,LYFT,0.0
2013-12-01,HLT,0.0
2013-12-01,LW,0.0
2013-12-01,SNAP,0.0
2013-12-01,DOX,0.0
2013-12-01,AGR,0.0
2013-12-01,LDOS,0.0
2013-12-01,KBH,0.0
2013-12-01,ANET,0.0
2013-12-01,EVRG,0.0
2013-12-01,MDC,0.0
2013-12-01,R,0.0
2013-12-01,SSW,0.0
2013-12-01,VC,0.0
2013-12-01,NI,0.0
2013-12-01,HCM,0.0
2013-12-01,ADSK,0.0
2013-12-01,FTV,0.0
2013-12-01,BZUN,0.0
2013-12-01,PPC,0.0
2013-12-01,NOAH,0.0
2013-12-01,LANC,0.0
2013-12-01,CW,0.0
2013-12-01,HTZGQ,0.0
2013-12-01,OVV.TO,0.0
2013-12-01,USFD,0.0
2013-12-01,CTB,0.0
2013-12-01,FANG,0.0
2013-12-01,ADNT,0.0
2013-12-01,ZNGA,0.0
2013-12-01,SSRM.TO,0.0
2013-12-01,COTY,0.0
2013-12-01,ODP,0.0
2013-12-01,CCO,0.0
2013-12-01,BEKE,0.0
2013-12-01,VEEV,0.0
2013-12-01,TT,0.0
2013-12-01,LU,0.0
